,PC1,PC2,PC3
lex_word_len_avg,-0.3751434796876223,0.09602787469921634,-0.1417397812256405
lex_ttr,-0.37642737391013864,0.21651795896664736,-0.20438702785672327
lex_hapax_ratio,-0.3807139043071013,0.18744942869065184,-0.1825314964926974
lex_stopword_ratio,0.24572237987834275,-0.2789565618390623,0.38475734083264246
syn_avg_sent_len,-0.3120153522503536,-0.020879489138606402,0.35013675636668146
syn_sent_len_var,-0.23076924782589395,0.19643857622027505,0.34694348065151376
syn_punct_per_1000,0.2112458440671708,0.5210981592988457,0.05568568254938317
char_semicolons,-0.1614689306771014,0.3108145551230688,0.22821815292913258
char_colons,0.11211067420456818,0.07027065445948509,-0.1930831273947822
char_emdashes,0.009207655157102418,0.3885621422652004,0.2141033239347763
char_ellipses,7.2911686452019515e-06,0.2577936229994024,-0.10168645566121154
char_quotes,0.12916699174369253,0.030528596504216174,-0.45577205482156824
char_exclaims,0.24118149149845267,0.19118982098387902,-0.2748085101232269
char_question,0.31328857690881134,0.1931769367918666,0.1420308311328598
str_avg_para_len,0.30320400854157675,0.3468484653589566,0.144836744956041
str_dialogue_ratio,0.11555768200092864,0.07930155988030949,-0.2019160362353748
